127.0.0.1 - - [30/Dec/2018:21:12:54 +0900] "GET / HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:12:54 +0900] "GET /BitShop/index.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:12:56 +0900] "GET /BitShop/member/main.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:12:57 +0900] "GET /BitShop/member/join-form.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:09 +0900] "GET /BitShop/member/join-result.jsp?id=a&name=a&pass=a&ssn=891122-107&height=190&weight=60 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:20 +0900] "GET /BitShop/member/login-form.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:25 +0900] "GET /BitShop/member/login-result.jsp?id=a&pass=a&name=a HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:27 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:13:44 +0900] "GET /BitShop/member/join-result.jsp?id=a&name=a&pass=a&ssn=891122-107&height=190&weight=60 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:15:59 +0900] "GET /BitShop/member/login-form.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:25:37 +0900] "GET /BitShop/member/login-form.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:25:41 +0900] "GET /BitShop/member/login-result.jsp?id=a&pass=a&name=a HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:25:42 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:25:44 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:26:03 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:26:07 +0900] "GET /BitShop/account/open-result.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:26:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:26:26 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [30/Dec/2018:21:26:46 +0900] "GET /BitShop/account/main.jsp HTTP/1.1" 200 359
