0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:00:06 +0900] "GET /BitShop/member.do?id=Bae2&name=%EB%B0%B0%EC%A0%95%EC%9A%B1&pass=1&ssn=891122-2&cmd=join&dest=welcome HTTP/1.1" 500 3407
127.0.0.1 - - [11/Jan/2019:00:03:29 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:03:29 +0900] "GET /BitShop/ HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:03:29 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:03:31 +0900] "GET /BitShop/member.do?dest=join-form HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:03:31 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:03:49 +0900] "GET /BitShop/member.do?id=baba&name=%EB%B0%94%EB%B3%B4&pass=1&ssn=999999-1&cmd=join&dest=welcome HTTP/1.1" 500 1568
127.0.0.1 - - [11/Jan/2019:00:06:19 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:06:19 +0900] "GET /BitShop/ HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:06:19 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:06:20 +0900] "GET /BitShop/member.do?dest=join-form HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:06:20 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:06:38 +0900] "GET /BitShop/member.do?id=lala&name=%EB%9D%BC%EB%9D%BC%EB%9D%BC&pass=1&ssn=983423-2&cmd=join&dest=welcome HTTP/1.1" 500 1568
127.0.0.1 - - [11/Jan/2019:00:07:31 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:07:31 +0900] "GET /BitShop/ HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:07:31 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:07:33 +0900] "GET /BitShop/member.do?dest=join-form HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:07:33 +0900] "GET /BitShop/resources/css/style.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [11/Jan/2019:00:07:47 +0900] "GET /BitShop/member.do?id=lala2&name=%EB%9D%BC%EB%9D%BC%EB%9D%BC&pass=1&ssn=959459-2&cmd=join&dest=welcome HTTP/1.1" 500 1568
